bus_id,Voltage,Zone,Pg Original,Pg Thermal Cap,Pg Thermal,Pg Nuclear Cap,Pg Nuclear,Pg Hydro Cap,Pg Hydro,Pg Wind Cap,Pg Other Cap,P0,Load
54,230,A,1115,43,,,,,,,,20,10.0060241
55,230,A,1095,54.8,,,,2460,,0,,939,469.7828313
56,230,A,410,884,,,,,,,,172,86.05180723
57,115,A,298,57,,,,,,35,37.6,240,120.0722892
58,230,A,,,,,,,,78.4,,84,42.0253012
59,115,A,,,,,,,,100.5,16,705,352.7123494
60,230,A,410,71,,,,,,,,0,0
61,115,A,194,84,,,,,,,,237,118.5713855
62,230,B,,,,,,,,6.6,4.8,0,0
52,345,B,,,,,,,,,,0,1063.3
53,115,B,833,126,,581.7,,63.8,,8.8,,923,461.778012
50,345,C,600,3007,,2782.5,,71.4,,,3.6,0,0
51,115,C,141,227,,,,,,30,39.5,731,1232.630102
63,230,C,,,,,,,,126,,0,0
64,115,C,,,,,,,,196.6,,143,241.130102
65,115,C,91,279,,,,,,212,29.6,91,153.4464286
66,345,C,,,,,,,,,4.5,0,0
67,230,C,,,,,,,,,,0,0
68,115,C,66,0,,,,38,,,,211,355.7933673
70,230,C,,,,,,,,,,0,0
71,115,C,134,47.7,,,,,,,,371,324.7352292
72,115,C,150,0,,,,,,,,0,0
48,230,D,400,323,,,,856,,678.4,6.4,0,0
49,115,D,,,,,,,,,,208,633.5
38,345,E,,,,,,,,,,0,0
43,345,E,,,,,,,,46.1,,0,0
44,230,E,,,,,,,,,,0,0
45,115,E,,,,,,28.6,,74,4.8,256,224.0760611
46,115,E,,,,,,,,,,23,20.13183362
47,230,E,400,159,,,,347.7,,401.7,61.9,528,462.1568761
69,345,E,,,,,,,,,,0,0
40,230,F,,,,,,,,,3.2,0,0
41,115,F,,,,,,,,,0.7,700,1127.18358
42,115,F,370,3181,,,,269.6,,,14.4,177,285.0164196
37,345,F,,,,,,,,,12,0,182.2666667
39,345,G,,,,,,,,,,0,182.2666667
73,345,G,,,,,,,,,9.2,0,182.2666667
75,138,G,,,,,,,,,,0,182.2666667
76,345,G,,,,,,,,,,0,182.2666667
77,345,G,,,,,,75.8,,,,0,182.2666667
74,345,H,,,,2065.8,,,,,59.7,102,953.4
78,345,I,466.019,584,,,,,,,,2000,1602
79,22,J,1000,0,,,,,,,123.6,0,0
82,22,J,460,13758,,,,,0,,,0,2715.6
80,138,K,720,3364.7,,,,,,378.9,44,700,560.7
81,345,K,,,,,,,,,,0,2715.6
